"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"igfxEM.exe","7952","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","The Event Manager Dashboard"
"svchost.exe","14084","Console","2","7,884 K","Running","DESKTOP-DDG68DT\Administrator","0:00:01","Windows Push Notifications Platform"
"svchost.exe","17188","Services","0","3,352 K","Unknown","NT AUTHORITY\SYSTEM","0:00:03","N/A"
"svchost.exe","21912","Services","0","1,688 K","Unknown","NT AUTHORITY\LOCAL SERVICE","0:00:00","N/A"
"taskhostw.exe","9316","Console","2","1,976 K","Running","DESKTOP-DDG68DT\Administrator","0:00:02","Task Host Window"
"explorer.exe","13176","Console","2","103,112 K","Running","DESKTOP-DDG68DT\Administrator","0:03:14","N/A"
"eaio_agent.exe","18472","Console","2","936 K","Unknown","DESKTOP-DDG68DT\Administrator","0:00:01","N/A"
"svchost.exe","12828","Console","2","1,028 K","Running","DESKTOP-DDG68DT\Administrator","0:00:01","OLEChannelWnd"
"ctfmon.exe","4728","Console","2","8,408 K","Running","DESKTOP-DDG68DT\Administrator","0:00:20","N/A"
"StartMenuExperienceHost.exe","12520","Console","2","8,416 K","Running","DESKTOP-DDG68DT\Administrator","0:00:00","启动"
"RuntimeBroker.exe","15856","Console","2","512 K","Unknown","DESKTOP-DDG68DT\Administrator","0:00:00","N/A"
"SearchUI.exe","15700","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:02","Cortana (小娜)"
"ChsIME.exe","5376","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","N/A"
"RuntimeBroker.exe","6304","Console","2","944 K","Running","DESKTOP-DDG68DT\Administrator","0:00:01","N/A"
"SettingSyncHost.exe","4868","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","N/A"
"RuntimeBroker.exe","10808","Console","2","7,120 K","Running","DESKTOP-DDG68DT\Administrator","0:00:00","OleMainThreadWndName"
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe","7896","Console","2","7,528 K","Running","DESKTOP-DDG68DT\Administrator","0:00:04","Microsoft Text Input Application"
"sfavtray.exe","21392","Console","2","9,684 K","Running","DESKTOP-DDG68DT\Administrator","0:00:12","aES终端托盘主窗口"
"PalmInputGuard.exe","11208","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","InputTSF.Guard.CFTGuardServer"
"sfavroguedf.exe","19252","Console","2","2,568 K","Running","NT AUTHORITY\SYSTEM","0:00:07","OleMainThreadWndName"
"PixPin.exe","17680","Console","2","3,656 K","Running","DESKTOP-DDG68DT\Administrator","0:00:01","PixPin"
"PalmInputService.exe","1288","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","InputTSF.Update.CFTNotifyWindow"
"crashpad_handler.exe","884","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","N/A"
"RtkAudUService64.exe","19536","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","RealtekAudioBackgroundProcessClass"
"tray.exe","1664","Console","2","35,520 K","Running","DESKTOP-DDG68DT\Administrator","0:12:10","爱数 AnyShare Enterprise 登录"
"ShareWebWindows.exe","11220","Console","2","14,124 K","Running","DESKTOP-DDG68DT\Administrator","0:00:12","@anyshare/windows"
"ShareWebWindows.exe","14012","Console","2","N/A","Running","DESKTOP-DDG68DT\Administrator","0:00:00","N/A"
